"","plec","edukacja","wiek","waga","rok"
"226","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",388.006379,"2011"
"227","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",572.795336,"2011"
"228","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",1045.709543,"2011"
"229","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",222.54605,"2011"
"230","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",264.532455,"2011"
"231","kobieta","średnie","25-34 lata",774.339652,"2011"
"232","kobieta","średnie","35-44 lata",635.101961,"2011"
"233","kobieta","średnie","45-59 lat",1297.01511,"2011"
"234","kobieta","średnie","60-64 lata",330.101489,"2011"
"235","kobieta","średnie","65+ lat",654.144567,"2011"
"236","kobieta","wyższe i policealne","25-34 lata",1336.698085,"2011"
"237","kobieta","wyższe i policealne","35-44 lata",668.299857,"2011"
"238","kobieta","wyższe i policealne","45-59 lat",759.176224,"2011"
"239","kobieta","wyższe i policealne","60-64 lata",168.358826,"2011"
"240","kobieta","wyższe i policealne","65+ lat",338.03756,"2011"
"241","mężczyzna","podstawowe i niższe","25-34 lata",155.62049473837,"2013"
"242","mężczyzna","podstawowe i niższe","35-44 lata",157.64549686202,"2013"
"243","mężczyzna","podstawowe i niższe","45-59 lat",350.7579797517,"2013"
"244","mężczyzna","podstawowe i niższe","60-64 lata",208.65284696216,"2013"
"245","mężczyzna","podstawowe i niższe","65+ lat",534.217586967744,"2013"
"246","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",635.729742073955,"2013"
"247","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",847.762677052475,"2013"
"248","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",1563.57808900453,"2013"
"249","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",402.065608153429,"2013"
"250","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",476.286338170542,"2013"
"251","mężczyzna","średnie","25-34 lata",899.270571926732,"2013"
"252","mężczyzna","średnie","35-44 lata",651.74862239624,"2013"
"253","mężczyzna","średnie","45-59 lat",891.460405088519,"2013"
"254","mężczyzna","średnie","60-64 lata",247.252730785497,"2013"
"255","mężczyzna","średnie","65+ lat",421.040162804421,"2013"
"256","mężczyzna","wyższe i policealne","25-34 lata",897.808707476811,"2013"
"257","mężczyzna","wyższe i policealne","35-44 lata",562.096750732202,"2013"
"258","mężczyzna","wyższe i policealne","45-59 lat",397.674539702513,"2013"
"259","mężczyzna","wyższe i policealne","60-64 lata",104.585932810948,"2013"
"260","mężczyzna","wyższe i policealne","65+ lat",270.477235043508,"2013"
"261","kobieta","podstawowe i niższe","25-34 lata",73.6088423974162,"2013"
"262","kobieta","podstawowe i niższe","35-44 lata",146.986464381226,"2013"
"263","kobieta","podstawowe i niższe","45-59 lat",392.170373481178,"2013"
"264","kobieta","podstawowe i niższe","60-64 lata",252.517853234112,"2013"
"265","kobieta","podstawowe i niższe","65+ lat",1339.47894599564,"2013"
"266","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",347.960771039368,"2013"
"267","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",586.671111386311,"2013"
"268","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",1005.44040716809,"2013"
"269","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",287.974664481041,"2013"
"270","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",347.502837032535,"2013"
"271","kobieta","średnie","25-34 lata",720.292902275857,"2013"
"272","kobieta","średnie","35-44 lata",657.25591006428,"2013"
"273","kobieta","średnie","45-59 lat",1190.31356725217,"2013"
"274","kobieta","średnie","60-64 lata",399.181482897205,"2013"
"275","kobieta","średnie","65+ lat",720.360382099425,"2013"
"276","kobieta","wyższe i policealne","25-34 lata",1393.86948657007,"2013"
"277","kobieta","wyższe i policealne","35-44 lata",801.494446220182,"2013"
"278","kobieta","wyższe i policealne","45-59 lat",765.780740086101,"2013"
"279","kobieta","wyższe i policealne","60-64 lata",179.432374881605,"2013"
"280","kobieta","wyższe i policealne","65+ lat",361.483334131378,"2013"
"281","mężczyzna","podstawowe i niższe","25-34 lata",89.79096489704,"2015"
"282","mężczyzna","podstawowe i niższe","35-44 lata",142.0526687825,"2015"
"283","mężczyzna","podstawowe i niższe","45-59 lat",246.2767966723,"2015"
"284","mężczyzna","podstawowe i niższe","60-64 lata",152.5388169224,"2015"
"285","mężczyzna","podstawowe i niższe","65+ lat",460.53995835002,"2015"
"286","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",467.5637898123,"2015"
"287","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",675.85140784008,"2015"
"288","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",1278.15761453534,"2015"
"289","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",364.57227407074,"2015"
"290","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",478.79904178398,"2015"
"291","mężczyzna","średnie","25-34 lata",694.57515163766,"2015"
"292","mężczyzna","średnie","35-44 lata",516.54183421856,"2015"
"293","mężczyzna","średnie","45-59 lat",680.20337079428,"2015"
"294","mężczyzna","średnie","60-64 lata",229.49007925612,"2015"
"295","mężczyzna","średnie","65+ lat",389.6249022206,"2015"
"296","mężczyzna","wyższe i policealne","25-34 lata",808.79835330888,"2015"
"297","mężczyzna","wyższe i policealne","35-44 lata",584.54440843236,"2015"
"298","mężczyzna","wyższe i policealne","45-59 lat",375.54704488412,"2015"
"299","mężczyzna","wyższe i policealne","60-64 lata",115.75735275798,"2015"
"300","mężczyzna","wyższe i policealne","65+ lat",253.54375216406,"2015"
"301","kobieta","podstawowe i niższe","25-34 lata",59.57744012252,"2015"
"302","kobieta","podstawowe i niższe","35-44 lata",110.581805511,"2015"
"303","kobieta","podstawowe i niższe","45-59 lat",300.0246617332,"2015"
"304","kobieta","podstawowe i niższe","60-64 lata",211.00063904882,"2015"
"305","kobieta","podstawowe i niższe","65+ lat",1139.3796765017,"2015"
"306","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",256.5008955004,"2015"
"307","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",453.94548055258,"2015"
